example_id,text,model_predicted_intent_REFERENCE_ONLY,human_intent,human_reference_reply,human_routing_decision,human_notes
ex_0016,I normally love you but the last 3 packages have been late! Which in small business terms means “I’m losing money!” WTF bro?!,,,,,
ex_0017,That is the problem! I cant access on my account because still on hold! I dont know why! Have a chat for customer service?,,,,,
ex_0018,Done that. Was told I would definitely have it by 9pm yesterday &amp; it's still not been delivered!!!!,,,,,
ex_0019,habt ihr dem Preis von Call of Duty WW2 angepasst?! Weil bei mir steht das ich Geld zurück bekomme?!,,,,,
ex_0020,"not a happy customer, been charged £80 for amazon prime!!! which I haven’t signed up for?",,,,,
ex_0021,"How does this work then ? Prime 1 day delivery, ordered Wednesday, delivery Saturday???",,,,,
ex_0022,Is it necessary to send fax ?? Can't we send email with supporting documents ??,,,,,
ex_0023,Yeah!!! ❤️ #WonderWoman Aber Beule im Steelbook! 😒,,,,,
ex_0024,What????,,,,,
ex_0025,Ohhh come on...don't be a freak...who has kept u on the job? You are not committing a time when u would take an action? Also confirm whether you will be calling me up by today end of the day? Only if u have questions to these answers you reply...,,,,,
ex_0026,"Does this help if you have lost your money? ""I've checked the details and I see that our team is right on it."" What does it mean? By When? Today is DAY 19th. #AmazonFraud #AmazonPay #AmazonPayQuiz #AmazonFails",,,,,
ex_0027,"I’m afraid I need to retract that?! After numerous emails &amp; phone calls, still not sorted! The words were great, just not the actions to follow it up 😩😩😩",,,,,
ex_0028,"Thankfully it is! The Amazon box was squashed, but the phone box is robust &amp; withstood it! The 'you were out' slip he left was a Hermes one?",,,,,
ex_0029,"Thankfully it is! The Amazon box was squashed, but the phone box is robust &amp; withstood it! The 'you were out' slip he left was a Hermes one?",,,,,
ex_0030,Seriously!!! Ur customer service already told me cancel d order .. Amazon can't do anything to it..n till now it's showing expected on 25th👏,,,,,
ex_0031,Thank you. Any way he can do this by speaking to a human on the phone?! He’s 79 and not great with online forms! Thanks for your help...,,,,,
ex_0032,"Argh, Hey Amazon! WHERE IS MY PACKAGE? Arriving between Nov 1&amp;3 doesn't mean shop Nov. 2 and maybe you'll get it the next day. WTF?",,,,,
ex_0033,How much more time is needed? I think everything is online.. Is ur seller not responding? Or approval is needed from any ministry?,,,,,
ex_0034,you don't care about the time of non prime customers !! Really sad to see the bad delivery of Amazon! Still waiting for delivery.,,,,,
ex_0035,I know it’s nearly xmas but seriously I ordered a book from due to arrive 23rd Oct and still don’t have it or know where it is???,,,,,
ex_0036,Yo stop putting my account on hold! I just got it off hold yesterday and it's already back on hold and orders cancelled wtf!?,,,,,
ex_0037,I have called and emailed....no response in 4 days! #AmazonEcho dot is a Rs 3000 paperweight for me right now! Please help!,,,,,
ex_0038,what's happening with Moz RAH ticket pre-sale?? Keeps telling me I've exceeded maximum - haven't bought any yet! Shambles,,,,,
ex_0039,you really need to sort out your customer service!!! 5 phone calls and I'm still banging my head against a brick wall.,,,,,
ex_0040,"Why does it say "" You have exceeded the maximum allowed number of tickets for this event."" I have no tickets ??!",,,,,
ex_0041,Ho ordinato sia il vinile che il cd autografato! Non vedo l’ora! Muoviti tempo che non posso aspettare +! #duets,,,,,
ex_0042,"been trying to login to my account to place an order, but it won’t let me! What’s going on?! #Irritating",,,,,
ex_0043,i just ordered this light and after i placed my order it changed my 2 day shipping to next monday ???,,,,,
ex_0044,Again a joke. Where is the pick up team its already 03:30 PM. Whats the time in Amazon Watches???,,,,,
ex_0045,Argh! Why is saying I've exceeded the number of tickets allowed when I'm trying to book 2 for ?!,,,,,
ex_0046,Ich werd es mal versuchen! Danke für die schnelle und gute Hilfe! Noch ein schönen Feiertag! ❤😁,,,,,
ex_0047,Is this a joke! Resealed by DPD with care? I think took it out and jumped on it! -,,,,,
ex_0048,ya puedo usar mi cuenta inglesa en Mexico? me quedé viendonuna serie a medias!!,,,,,
ex_0049,hi! How do I check how much amazing pantry credit I have my my account? Thanks!,,,,,
ex_0050,Okay....what information do you need to be able to help then???,,,,,
ex_0051,what's up with the morrissey Brighton ticket link???,,,,,
ex_0052,"Fußball weg, Football weg! Filme und Serien! Mehr!",,,,,
ex_0053,U need to ur mails first.. Are they of any use???,,,,,
ex_0054,When will be the earliest?? 1 more month?,,,,,
ex_0055,Order details!!!,,,,,
ex_0056,"Who's security? UR asking 4 MY personal details. Surely U have company phone #s that aren't ""personal."" This is absurd. I'm TRYING 2 work w/U people. Y do U make it so hard? May I be referred to a mgr who isn't afraid 2 speak w/an intelligent, reasonable woman 2 work out sols",,,,,
ex_0057,"I get things delivered to work but your guys often deliver after hours (registered business address). Had a call from the neighbour this morning, my things had been left in his front garden. They'd not seen a courier and I had no card! Could've been rained on or nicked!",,,,,
ex_0058,Heard a loud bang on the door of my 2nd-floor apartment. Went outside -- an delivery guy had thrown a package full of Christmas presents from the ground. He was taking a picture of our door (?). Said hello and ran off. I guess this is life after the retail apocalypse?,,,,,
ex_0059,Am I just going to keep waiting in every day for something that’s not going to arrive? I’ve took 4 days off work to try and wait for this and amazon want to offer me £5 compensation which isn’t even 1% of my losses. Why can I not speak to the courier directly?,,,,,
ex_0060,"customer quality is gone 4m excellent 2 embarrassingly pathetic. U really should keep CS based in d same country, it horrible speaking 2 an almost robotic Manuel reading person! Think I should shop elsewhere from now on. Also left on hold now 15 mins! 😡",,,,,
ex_0061,Just received call from some Amazon delivery supervisor to understand issue. He tells that this issue is reported to him today. WHAT WAS AMAZON CUSTOMER CARE DOING FOR PAST 15 DAYS? SLEEPING? #AmazonFails #AmazonFraud #AmazonPayQuiz #AmazonPay,,,,,
ex_0062,"Seit wann wird bei eurem Super Unternehmen eigentlich das Zustelldatum auf ca. 24h Stunden geschätzt, wenn das wunderbar erwartete Paket dann in diesem kleinen aber feinen (Achtung Ironie) Zeitraum nicht ankommt? Arbeitet ihr auch vernünftig?",,,,,
ex_0063,It's my office address and it closes by 6-6:15 pm. For the package i have to wait till 8 pm ?? And by the way it guy told me he is coming by 2 pm but still he is not der and not evening picking my call.,,,,,
ex_0064,Ich weiss echt noch wofür ich Amazon Prime bezahle und dann noch einen Aufschlag für morning Express zahle wenn das Paket dann doch fast 5 Tage zu mir braucht! Und zu spät da is. Was da los ?,,,,,
ex_0065,Is 15 days not sufficient for you guys to investigate a money fraud? Whats the update on my mail sent yesterday for follow up? #AmazonFails #AmazonFraud #AmazonPay #AmazonPayQuiz,,,,,
ex_0066,Already filled yesterday 4th time...how many more times do you want me to fill? 😡 Each and every thing needs to performed or explained atleast 20-30 times for you to understand?,,,,,
ex_0067,"I ordered from the UK site, now see it is in transit from the States! I purposely ordered from the UK to not get customs charges/additional VAT. What to do when I get charged?",,,,,
ex_0068,Still waiting for response. WHAT INFO YOU NEED TO PROCEED? I will not fill the form again. WHERE IS MY MONEY? GIVE ME MY MONEY. #AmazonFails #AmazonFraud #AmazonPay,,,,,
ex_0069,Still waiting for response. WHAT INFO YOU NEED TO PROCEED? I will not fill the form again. WHERE IS MY MONEY? GIVE ME MY MONEY. #AmazonFails #AmazonFraud #AmazonPay,,,,,
ex_0070,hey why do you keep telling me I’ll get my package by 8 until after 8 when you tell me it’ll be 2 more days? Didn’t you know earlier in the day it wasn’t coming?,,,,,
ex_0071,What about the form I filled earlier? What was that for? I was asked to wait for 2 more days after that. GIVE ME MY MONEY. #AmazonFails #AmazonFraud #AmazonPay,,,,,
ex_0072,well done amazon! I’ve just identified a fraud on my account &amp; your advisor was reassuring &amp; sorted it all out! Great customer service 👍🏻,,,,,
ex_0073,": j’ai acheté 4 lampes, vous avez débité mon compte comme si c’étaient 10. Vos services répondent à peine. Que faire? Porte plainte pour vol?",,,,,
ex_0074,Bought printer to print didn't get on time had to spend rs 1200 for printing 120 pages even after ordering printer !! Who will pay the loss,,,,,
ex_0075,Thank you very much for the speedy reply! Is US site the same as the UK site? I can't see what digital credit/ pantry credit I have sadly 😔,,,,,
ex_0076,Still getting same reply from Amazon. Asking me to wait. Is there any end for this wait.. ? Think after 1yr also i'll get the same answer?,,,,,
ex_0077,"Si, es correos y pedí ke viniesen a x el pakete pero me pedian ke me kedase o toda una mañana o toda una tarde en casa pero y mi trabajo??",,,,,
ex_0078,So this order 407-7402036-7182732 Placed on 30th and supposed to reach me on 2nd November Now is this as per amazon prime delivery std ??,,,,,
ex_0079,So this order 407-7402036-7182732 Placed on 30th and supposed to reach me on 2nd November Now is this as per amazon prime delivery std ??,,,,,
ex_0080,is there a way to track the origin of a shipment I received AT MY WORK? I received an odd delivery &amp; do not know who it came from?,,,,,
ex_0081,", are you getting too big for great service? Amazon logistics is failing your company. Fed up with the lousy delivery service lately!",,,,,
ex_0082,"This'll be the second return in as many days, what guarantee have I got that I'm going to get an undamaged record...3rd time lucky?!",,,,,
ex_0083,"I am in Norway, is that an american number? Wow, been shopping a lot at Amazon lately, but i must say this time it was a letdown!",,,,,
ex_0084,Extremely disappointed in email to say refused at door but have been told completely the wrong package arrived. Wheres my stuff?!,,,,,
ex_0085,Address verification?Anyone fix it! My billing address is correct and I sended already my bank statemend but nothing happens,,,,,
ex_0086,"Hey yall. Why is my checkout not working? I click ""checkout with fresh"" and it takes me to an error page. What's the deal?",,,,,
ex_0087,Hallo ihr Lieben! Frage: Gibt es eine Prognose wann die Amazon App für Apple TV verfügbar sein wird? Danke für die Info.,,,,,
ex_0088,why do I have to continually explain the situation! I’m talking to a wall. You don’t listen! Horrible customer service,,,,,
ex_0089,"so will the pickup, originally planned for today from 1-4 pm, actually happen or not?? I am more concerned abt that.",,,,,
ex_0090,Signed up for Prime to buy a SNES today. Can’t find it! Is it there or am I now a person who can’t use websites? 🙈,,,,,
ex_0091,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,,,,,
ex_0092,"i will look,where do i go to see if it's being sent USPS or UPS/FEDEX? I have Prime so it's delivered to my door!",,,,,
ex_0093,"Ach schau an. Meine Bestellung war unzustellbar... , was ist da denn passiert? Bekomme ich mein Geld nun wieder?",,,,,
ex_0094,it's been suggested I get a crime number from police for a missing parcel or no assistance. Are you crazy?!,,,,,
ex_0095,"So frustrating I wanted to pick up my parcel tonight, it’s been returned? “Pickup window ended tomorrow” !",,,,,
ex_0096,once agin let down by your service ! No food for my weekend guests !#amazongermany#unreliable#ineffecient#,,,,,
ex_0097,the last email i got was the transcript of the last chat that i requested.. you want me to reply to that??,,,,,
ex_0098,Trying to buy Morrissey tickets for Brighton &amp; being told I've exceeded number of tickets! I haven't!,,,,,
ex_0099,"Hi, is there a reason why this line exists? Its on your new app for the Roku. Is there any way to fix it?",,,,,
ex_0100,アマゾンからの荷物が届いていたので、てっきり先日注文した某書物だろう、と思ったら・・先月届いたものと同じものがなぜかもう一冊届いた不思議(?_?) 注文履歴見ても一度しか注文してないのになんでなんだろう・・,,,,,
ex_0101,"All m getting is apologies but no refund.. everything is online, unable to understand the delay!!",,,,,
ex_0102,Why is amazon not disbursing funds to sellers and giving no information? Has amazon gone bust?,,,,,
ex_0103,2/2 lavorativo successo. Ma allora oggi e un giorno lavorativo per GLS o no? Sa? #GLS #Amazon,,,,,
ex_0104,"Not that I can find, but the payment is taken from my account? Can I DM you my email address?",,,,,
ex_0105,Why is showing AV_MOBILE_IOS_DETAILS_AIRDATE_WITH_COLON everywhere? Did you guys get hacked?,,,,,
ex_0106,my colleagues fashioned my packaging into a must have autumn accessory! What do you think?,,,,,
ex_0107,Have you gone deeper into the issue or it's just an automated instant reply over Twitter??,,,,,
ex_0108,"Hey , when is Vikings being released? I thought it was supposed to be today?",,,,,
ex_0109,¿Qué es esto? ¿Qué me está pasando? 😔😢se supone que ya está en mi ciudad 🙃🙃,,,,,
ex_0110,Being a loyal customer of ! Expecting a positive reply on this. Thank you!,,,,,
ex_0111,Was soll ich denn da auswählen? Es gibt keinen Menüpunkt für Beschwerden!,,,,,
ex_0112,Can you please update the status? When i will be getting my money back?,,,,,
ex_0113,Erm I bought this item for £5.99... why am I only getting £1.67 back?!,,,,,
ex_0114,You are not asking any rocket science there! Tell me the status Ass!,,,,,
ex_0115,Where you send correspondence ?? I did not get any correspondence.,,,,,
ex_0116,Hoooorrrayyy! Not showing up on website yet as an option though?,,,,,
ex_0117,Excelente servicio! Recibí mis paquetes hace un par de minutos!,,,,,
ex_0118,"""Alexa, häng die Wäsche auf"" ?! 🤔 #Amazon #Ariel #AmazonEcho",,,,,
ex_0119,Can you let me know what the issue is? Do you need any info?,,,,,
ex_0120,Shall I wait for life? Worst customer service...pathetic!,,,,,
ex_0121,"Bloqué a ""en cours de livraison"" à la date de hier !!",,,,,
ex_0122,since when did you start charging return postage??,,,,,
ex_0123,"Hey! you the BEST! Sincerely, Happy Customer. :)",,,,,
ex_0124,Thank you for the quick reply! Have a good week!,,,,,
ex_0125,When? It’s already more then 72hours! :(,,,,,
ex_0126,te amo! Una vez más todo increíble! 😻,,,,,
ex_0127,is services available on ehco dot??,,,,,
ex_0128,Done this. What about resolution ??,,,,,
ex_0129,what is the update Amazon team??,,,,,
ex_0130,How many time I send detail.??,,,,,
ex_0131,Directly from yourselves!!,,,,,
ex_0132,When? It’s not up yet?,,,,,
ex_0133,Haven't got one yet!!,,,,,
ex_0134,Haven't got one yet!!,,,,,
ex_0135,Hi! Any updates?,,,,,
ex_0136,"So, we own Past Perfect Music label, the trademark &amp; distrib/manuf. keep saying ""due to our inability to verify info provided &amp; info re...prior selling history &amp; listings...your (music) listings affected...are inactive"" Why? Loads of our CDs stuck waiting FBA",,,,,
ex_0137,"apparently had a delivery yesterday that definitely didn't arrive (I was home). The resolve you send to me via email was? ""It's been delivered. The carrier says so"". No proof of delivery, no missed delivery card. After years of being an Amazon customer I will be leaving",,,,,
ex_0138,Please give accurate delivery date. I ordered a product by paying 100 INR as delivery charges for assured one day delivery. I did not received my product yet. Customer care is giving false promises. This is not the first time I am facing this issue. Can I have solution?,,,,,
ex_0139,"Please simply answer my question. I am not an AmazonFresh customer, just a condominium unit owner inconvenienced by UR customers &amp;trying 2 figure out how we can all accommodate one another. Y R U making this so complicated? Direct message me with UR contact info.",,,,,
ex_0140,"I don’t want to phone you or email you as the only outcome is another automated email - I’ve had 12 now, which just adds to my anger - I just need a human to answer my questions &amp; give me my money back. I’ve been promised numerous times this will be sorted?",,,,,
ex_0141,"Merci pour votre super cadeau 😍 mes files et moi même pourront dormir sur nos deux oreilles et rêver de sable chaud et de mer translucide en toute sécurité 😍 a nous de vous rendre l’appareil, avez-vous une adresse postal afin de vous envoyer notre surprise?",,,,,
ex_0142,"Hi, I need to get my Kindle screen fixed but since it is out of warranty, your team says i need to buy a new kindle. Are there no ways to fix my current device? I can’t keep spending 11k every 14 months on a new kindle.",,,,,
ex_0143,Kindergarten Unlimited website will not return any ebooks. Tried returning all 10 but keeps sayjng I have 10 out. Have closed out of browser on pc and reinstalled android app. Nothing helps on either platform. Help! :(,,,,,
ex_0144,"hi there. ordered some items via which are lost in transit. nobody has contacted me, updated me, refunded me. wondering why I am paying for prime if this is the service I get. can you help? email: __email__. thanks.",,,,,
ex_0145,"Who says i want you to replace my device? I want it fixed. And in case you have an electronic device in the market for more than 5 years, don’t you think there should be a service center for the same.",,,,,
ex_0146,Be a man of your words and come up with a solution by today. And also I am expecting call from ur management? Is it possible..just disclose it in public forum and I'll take this with consumer court,,,,,
ex_0147,"Bjr, je dois recevoir un colis demain via Amazon logistics. Cependant je ne serai pas chez moi et personne ne pourra le recevoir à ma place. Possible de le recevoir à une autre adresse ? Merci",,,,,
ex_0148,GOT A RESPONSE TO WAIT FOR ANOTHER 24-48 HOURS ... WHY? NOW U GUYS KNOW THAT UR DELIVERY AGENT WAS THE FRAUD.... NOW GIVE ME MY MONEY #AmazonFails #AmazonFraud #AmazonPay #AmazonPayQuiz,,,,,
ex_0149,It now says 30th-4th December. This isn't good enough. I ordered this tree because it was available on Prime. Can I ask what is the point in paying for a service then not delivering?,,,,,
ex_0150,I am busy now . By Saturday if don't get replacement product! I will share the entire incident in all major platforms.so that people aware about fake product sold at Amazon,,,,,
ex_0151,"The agent is advising I continue to wait. I understand that, but it’s pretty common that my orders are marked delivered when they never were. Delivery is very unreliable!",,,,,
ex_0152,"Since I am filling the form on my iPhone, I am finding it difficult to put the Twitter you are well and hence the form does not go. Can I DM you my number? I am blind.",,,,,
ex_0153,"How many times shud I reply brother? If u r nt able to access acc details here then close this so called amazon help....totally pathetic Neways, give me nodal email id",,,,,
ex_0154,I put something on my wishlist last night for £59.99 (&amp; it's still showing that price atm on my list) click on the actual product &amp; price jumps up to £84.99?,,,,,
ex_0155,Why the hell your expected delivery time and actual delivery time vary so much? It was showing delivery by 2nd dec and im getting call to collect it today only,,,,,
ex_0156,I just got a mail that you guys can't help because the product was received intact condition. What does that mean? I received trash in a well packed box.,,,,,
ex_0157,"Hi, spoke to alyssia yday evening who guaranteed it would arrive today. Am I able to track it? The usual tracking page is just as the attached image",,,,,
ex_0158,Cash loaded in AmazonPay on 13th Nov still not reflecting. Where is my money? GIVE ME MY MONEY #amazonpayfraud #amazonfraud #stupidcustomerservice,,,,,
ex_0159,Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,,,,,
ex_0160,"The porch was open &amp; the parcel could have been left in there, but you just couldn’t be bothered to drive out to the countryside could you?",,,,,
ex_0161,Your return pickup for 407-4463037-6609940 has been scheduled for 02-Nov between 1-4PM. Why am I called that it will be picked in next 1 hr?,,,,,
ex_0162,Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,,,,,
ex_0163,Your return pickup for 407-4463037-6609940 has been scheduled for 02-Nov between 1-4PM. Why am I called that it will be picked in next 1 hr?,,,,,
ex_0164,That's what m doing n u making me believe more that refund policy by Amazon in India is really poor..! Ur seller is even not taking calls nw,,,,,
ex_0165,Yeah it happens with you! Stuff that is marked amazon prime and says I'll get it in two days and then at 8pm on the second day changes ETA.,,,,,
ex_0166,"No, is USPS even contactable, esp after hours? I'll wait and see what happens tomorrow. Two delivery mishaps this month - one UPS, one USPS",,,,,
ex_0167,I’ve waited til past 8 o’clock now-here are the references: 67303131113645 &amp; 73303231558729 EVERY Hermes delivery gets delayed. No fun!,,,,,
ex_0168,I have visited multiple times. why would a sc change uts policy to meet ur unreasonable demands? this issue is ongoing since 1.5 months.,,,,,
ex_0169,logistics dpt created ticket 24 hrs ago with no response as promised😢. Feeling so disappointed word was not kept ! #feeling unimportant,,,,,
ex_0170,I already dialed your CS team twice and as I am talking I just got the text below: what the hell is wrong with you people! I am waiting,,,,,
ex_0171,I already dialed your CS team twice and as I am talking I just got the text below: what the hell is wrong with you people! I am waiting,,,,,
ex_0172,The problem is not the service itself the problem is that you don't communicate this is gonna happen! 😡 I lost 4 months of membership.,,,,,
ex_0173,we have been hearing that since 2 years. Almost 60k monthly is being chewed on wrong shipping updates! Still no actions. #HearUsAmazon,,,,,
ex_0174,Pago para tener el Prime con vosotros para que me tarden en llegar 10 dias? Reembolsadme la compra y lo compro en cualquier otro sitio,,,,,
ex_0175,"Pre ordered a book and treated myself to another book, neither have even dispatched! The order is still at will dispatch on 22nd Oct.",,,,,
ex_0176,Pour que je puisse me faire rembourser sans problème sur l'article que je dois vous renvoyer que dois-je mettre en raison de renvoi ?,,,,,
ex_0177,"Tô lendo Ascensão e a Queda de Darth Vader, contada pelo ponto de vista dele. Muito show! Façam uma promoção de livros Star Wars haha",,,,,
ex_0178,"Hey , maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch!",,,,,
ex_0179,"Dear friends, I cannot possibly sign in to my account; I have tried changing my password a bunch of times now to no avail, heeeelp!",,,,,
ex_0180,"charging me 3 times for the same purchase is unacceptable, as well as not having a customer svc phone # easily accessible online! 😠",,,,,
ex_0181,wht do I understand by one-day delivery in office address when the time slot mentioned is 10 a.m - 5 p.m? Also get some trained CC,,,,,
ex_0182,"I need some from a UK call centre to call me, I am getting nowhere with customer service. Can somebody arrange this for me please?",,,,,
ex_0183,"I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",,,,,
ex_0184,"Funny!Yesterday prime account activation was rs499 , today 999 with 500 cash back into amazon pay . Creepy offer for intense user",,,,,
ex_0185,I already talked to your customer care. They are saying kindle prime reading is only available for US residents. I am asking why?,,,,,
ex_0186,"I sent in the link and in 1""2-24 hours"" I expect to hear from . I hope the scum that hacked my account isn't on a shopping spree!",,,,,
ex_0187,"Why is there a box that says I can pre-order Songs of Experience - and listen to 2 songs - but I click &amp; it says ""not found""?",,,,,
ex_0188,can you explain why a package I was due to receive yesterday was marked as refused at my address - when no one refused it? Poor.,,,,,
ex_0189,i tried almost every single pin code available in the country and none of them worked. please share 1 pin code which is working?,,,,,
ex_0190,"Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",,,,,
ex_0191,paid my yearly prime fee and my next order I get a delivery attempt sms even though I was waiting at the address. Not impressed!,,,,,
ex_0192,"3rd order, 3rd delay email. Perhaps y'all aren't ready for this zip code yet? Trying free month, def not going to pay for this.",,,,,
ex_0193,Given up will 2 live trying 2 place order as basket won't let me remove 1 item! FFS sort it out Amazon Bad enough u not pay tax,,,,,
ex_0194,"same reply again and again. if the complaint is raised under warranty period and if wont solve it, how is it out of warranty?",,,,,
ex_0195,"No, I spoke to I've of your advisors (in picture) and I was expecting a reply some hours ago and still havent heard anything?",,,,,
ex_0196,"And if they won't be able to get it for me, will I be able to cancel the exchange request and put a request for a refund in?",,,,,
ex_0197,been told my parcel was out for delivery since 630 now I'm told not to expect it till tomorrow. What is going on? It's prime,,,,,
ex_0198,"heißt das, das ich umsonst zu Hause geblieben bin und ich hätte zur Arbeit gehen können da es wohl heute nicht mehr kommt?",,,,,
ex_0199,I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund?,,,,,
